"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time"
"1","COLBY COVINGTON","23","5","1","6","Welterweight","SUB","3","3:26"
"0","WAGNER SILVA","16","0","0","0","Welterweight","SUB","3","3:26"
"1","LUKE ROCKHOLD","20","0","1","1","Middleweight","SUB","2","0:57"
"0","MICHAEL BISPING","16","0","0","0","Middleweight","SUB","2","0:57"
"1","AL IAQUINTA","31","0","0","0","Lightweight","KO/TKO","2","1:39"
"0","ROSS PEARSON","20","0","0","0","Lightweight","KO/TKO","2","1:39"
"1","ROBERT WHITTAKER","49","1","0","2","Middleweight","KO/TKO","2","2:43"
"0","CLINT HESTER","28","0","0","0","Middleweight","KO/TKO","2","2:43"
"1","SOA PALELEI","24","1","0","2","Heavyweight","KO/TKO","2","4:49"
"0","WALT HARRIS","22","0","0","0","Heavyweight","KO/TKO","2","4:49"
"1","JAKE MATTHEWS","26","1","1","0","Lightweight","SUB","2","1:52"
"0","VAGNER ROCHA","14","0","0","0","Lightweight","SUB","2","1:52"
"1","ANTHONY PEROSH","11","1","1","5","Light Heavyweight","SUB","1","3:46"
"0","GUTO INOCENTE","1","0","0","0","Light Heavyweight","SUB","1","3:46"
"1","SAM ALVEY","6","0","0","1","Middleweight","KO/TKO","1","2:16"
"0","DYLAN ANDREWS","4","2","0","2","Middleweight","KO/TKO","1","2:16"
"1","LOUIS SMOLKA","67","1","0","2","Flyweight","KO/TKO","3","0:18"
"0","RICHIE VACULIK","74","2","1","2","Flyweight","KO/TKO","3","0:18"
"1","CHRIS CLEMENTS","25","0","0","0","Welterweight","KO/TKO","1","3:06"
"0","VIK GRUJIC","7","1","0","1","Welterweight","KO/TKO","1","3:06"
"1","DANIEL KELLY","25","1","1","2","Middleweight","SUB","1","4:27"
"0","LUKE ZACHRICH","23","0","0","0","Middleweight","SUB","1","4:27"
"1","MARCUS BRIMAGE","5","0","0","0","Bantamweight","KO/TKO","1","2:58"
"0","JUMABIEKE TUERXUN","6","0","0","0","Bantamweight","KO/TKO","1","2:58"
"1","JOSE ALDO","102","0","0","2","Featherweight","U-DEC","5","5:00"
"0","CHAD MENDES","77","1","0","0","Featherweight","U-DEC","5","5:00"
"1","PHIL DAVIS","49","9","0","4","Light Heavyweight","U-DEC","3","5:00"
"0","GLOVER TEIXEIRA","9","0","0","0","Light Heavyweight","U-DEC","3","5:00"
"1","FABIO MALDONADO","28","0","0","0","Light Heavyweight","KO/TKO","2","4:06"
"0","HANS STRINGER","33","3","0","1","Light Heavyweight","KO/TKO","2","4:06"
"1","DARREN ELKINS","47","1","0","0","Featherweight","S-DEC","3","5:00"
"0","LUCAS MARTINS","26","0","1","0","Featherweight","S-DEC","3","5:00"
"1","BENEIL DARIUSH","32","3","0","2","Lightweight","U-DEC","3","5:00"
"0","DIEGO FERREIRA","21","0","0","0","Lightweight","U-DEC","3","5:00"
"1","NEIL MAGNY","65","2","0","4","Welterweight","KO/TKO","3","2:40"
"0","WILLIAM PATOLINO","24","0","0","0","Welterweight","KO/TKO","3","2:40"
"1","YAN CABRAL","11","2","1","3","Lightweight","SUB","2","3:06"
"0","NAOYUKI KOTANI","5","1","0","1","Lightweight","SUB","2","3:06"
"1","WILSON REIS","13","1","1","2","Flyweight","SUB","1","3:28"
"0","SCOTT JORGENSEN","6","0","0","0","Flyweight","SUB","1","3:28"
"1","ANDRE FILI","42","5","1","4","Featherweight","U-DEC","3","5:00"
"0","FELIPE ARANTES","29","3","1","3","Featherweight","U-DEC","3","5:00"
"1","GILBERT BURNS","7","1","2","3","Lightweight","SUB","1","4:57"
"0","CHRISTOS GIAGOS","4","0","0","0","Lightweight","SUB","1","4:57"
"1","TONY MARTIN","1","1","3","2","Lightweight","SUB","1","4:16"
"0","FABRICIO CAMOES","1","0","0","0","Lightweight","SUB","1","4:16"
"1","RORY MACDONALD","47","1","0","0","Welterweight","KO/TKO","3","1:28"
"0","TAREC SAFFIEDINE","42","0","0","0","Welterweight","KO/TKO","3","1:28"
"1","RAPHAEL ASSUNCAO","75","2","0","0","Bantamweight","U-DEC","3","5:00"
"0","BRYAN CARAWAY","39","2","0","0","Bantamweight","U-DEC","3","5:00"
"1","CHAD LAPRISE","35","4","0","5","Lightweight","U-DEC","3","5:00"
"0","YOSDENIS CEDENO","17","0","0","0","Lightweight","U-DEC","3","5:00"
"1","ELIAS THEODOROU","43","3","0","2","Middleweight","U-DEC","3","5:00"
"0","BRUNO SANTOS","16","4","0","2","Middleweight","U-DEC","3","5:00"
"1","NORDINE TALEB","66","2","0","0","Welterweight","S-DEC","3","5:00"
"0","LI JINGLIANG","43","2","0","0","Welterweight","S-DEC","3","5:00"
"1","MITCH GAGNON","5","1","1","1","Bantamweight","SUB","1","2:06"
"0","ROMAN SALAZAR","3","0","0","0","Bantamweight","SUB","1","2:06"
"1","DARON CRUICKSHANK","42","6","0","1","Lightweight","U-DEC","3","5:00"
"0","ANTHONY NJOKUANI","40","0","0","0","Lightweight","U-DEC","3","5:00"
"1","OLIVIER AUBIN-MERCIER","31","2","1","4","Lightweight","SUB","2","3:22"
"0","JAKE LINDSEY","24","1","0","1","Lightweight","SUB","2","3:22"
"1","PAUL FELDER","51","1","0","1","Lightweight","S-DEC","3","5:00"
